title,Author,audio_url,Admiration,Amusement,Anger,Compassion,Contempt,Disappointment,Disgust,Fear,Guilt,Hate,Interest,Joy,Pleasure,Answer.Love,Contentment,Answer.Pride,Answer.Regret,Answer.Relief,Answer.Sadness,Answer.Shame,Approve,Reject
Missing Carnival,John Hennessy,https://media.poetryfoundation.org/uploads/media/default/0001/06/724bb73b3cb346f573d646b4842890cce3153fea.mp3,4,6,4,5,7,7,7,5,6,2,7,4,6,7,5,7,4,3,4,6,,
Missing Carnival,John Hennessy,https://media.poetryfoundation.org/uploads/media/default/0001/06/724bb73b3cb346f573d646b4842890cce3153fea.mp3,1,4,5,9,0,1,4,0,1,0,0,5,1,2,1,2,1,0,2,0,,
Missing Carnival,John Hennessy,https://media.poetryfoundation.org/uploads/media/default/0001/06/724bb73b3cb346f573d646b4842890cce3153fea.mp3,6,7,1,4,2,6,2,2,2,0,1,6,5,5,6,3,0,4,2,1,,
Pied Beauty,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/d578f33ea534692c3bb25de48d3d37ac79712e51.mp3,3,7,3,4,7,7,6,7,5,4,4,6,5,4,7,6,6,5,2,7,,
Pied Beauty,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/d578f33ea534692c3bb25de48d3d37ac79712e51.mp3,7,8,0,5,0,8,0,0,0,0,0,8,8,9,7,6,0,8,0,0,,
Pied Beauty,Gerard Manley Hopkins,https://media.poetryfoundation.org/uploads/media/default/0001/07/d578f33ea534692c3bb25de48d3d37ac79712e51.mp3,5,1,2,4,4,7,3,1,3,2,2,2,1,7,2,2,2,2,2,2,,
Searchers,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/1f94a67ce7ff3179fda5f3008fc45fa694169975.mp3,4,2,4,3,3,3,3,1,1,3,3,1,1,3,1,3,1,2,4,2,,
Searchers,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/1f94a67ce7ff3179fda5f3008fc45fa694169975.mp3,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,,
Searchers,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/1f94a67ce7ff3179fda5f3008fc45fa694169975.mp3,1,2,2,0,1,0,8,1,9,8,1,9,1,0,0,2,7,0,9,6,,
The Pampering of Leora,Thylias Moss,https://media.poetryfoundation.org/uploads/media/default/0001/07/70ece6e0394bafc8e3b3820f95809d4ee5dc38d2.mp3,3,7,1,4,4,7,4,3,2,4,3,6,5,4,7,6,6,5,2,7,,
The Pampering of Leora,Thylias Moss,https://media.poetryfoundation.org/uploads/media/default/0001/07/70ece6e0394bafc8e3b3820f95809d4ee5dc38d2.mp3,5,8,5,3,2,5,2,2,2,1,3,8,2,5,2,2,2,5,2,1,,
The Pampering of Leora,Thylias Moss,https://media.poetryfoundation.org/uploads/media/default/0001/07/70ece6e0394bafc8e3b3820f95809d4ee5dc38d2.mp3,4,8,2,7,0,7,1,0,0,3,0,9,3,8,4,4,2,3,2,0,,
Scary Movies,Kim Addonizio,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89a093c0496a607bb2326b8cdbb67fd0917ff6d.mp3,8,7,6,7,6,6,10,8,10,10,6,7,8,8,5,10,7,4,10,7,,
Scary Movies,Kim Addonizio,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89a093c0496a607bb2326b8cdbb67fd0917ff6d.mp3,0,6,3,0,9,4,9,8,8,7,5,5,1,0,2,2,9,0,5,8,,
Scary Movies,Kim Addonizio,https://media.poetryfoundation.org/uploads/media/default/0001/06/b89a093c0496a607bb2326b8cdbb67fd0917ff6d.mp3,8,1,3,9,2,1,3,3,5,1,3,3,1,8,1,2,7,6,1,3,,
Delia Rexroth,Kenneth Rexroth,https://media.poetryfoundation.org/uploads/media/default/0001/07/158935ab831e557f11b5daceb7404c91de69654d.mp3,0,7,5,0,8,6,8,6,6,8,8,6,1,0,1,1,7,0,7,8,,
Delia Rexroth,Kenneth Rexroth,https://media.poetryfoundation.org/uploads/media/default/0001/07/158935ab831e557f11b5daceb7404c91de69654d.mp3,4,3,3,3,4,2,3,4,2,2,4,6,2,5,1,3,2,3,6,4,,
Delia Rexroth,Kenneth Rexroth,https://media.poetryfoundation.org/uploads/media/default/0001/07/158935ab831e557f11b5daceb7404c91de69654d.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
kitchenette building,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/a2a3476419b497561a661c0c1c53ac49987d76a0.mp3,2,3,2,4,3,3,1,3,1,1,4,2,1,4,3,1,2,3,3,3,,
kitchenette building,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/a2a3476419b497561a661c0c1c53ac49987d76a0.mp3,9,7,0,5,0,8,0,0,0,1,0,8,8,8,8,9,2,6,1,0,,
kitchenette building,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/a2a3476419b497561a661c0c1c53ac49987d76a0.mp3,9,9,4,8,1,2,2,2,2,4,2,9,8,8,8,5,2,7,2,4,,
“Any fool can get into an ocean . . .”,Jack Spicer,https://media.poetryfoundation.org/uploads/media/default/0001/07/43f72e3328c6b0d890d70df276887c7d3bbd911a.mp3,8,8,0,4,0,8,0,0,0,0,0,9,8,9,8,9,1,9,0,0,,
“Any fool can get into an ocean . . .”,Jack Spicer,https://media.poetryfoundation.org/uploads/media/default/0001/07/43f72e3328c6b0d890d70df276887c7d3bbd911a.mp3,7,8,1,8,3,2,3,3,3,2,1,8,7,6,7,5,2,7,1,1,,
“Any fool can get into an ocean . . .”,Jack Spicer,https://media.poetryfoundation.org/uploads/media/default/0001/07/43f72e3328c6b0d890d70df276887c7d3bbd911a.mp3,3,1,3,3,4,4,1,3,3,2,2,3,3,2,3,1,3,4,1,1,,
A Sunset of the City,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/6cba944ec68228350483695c5b0f81bedf7fd9f7.mp3,4,6,4,5,7,7,7,5,6,2,7,4,6,7,5,7,4,3,4,6,,
A Sunset of the City,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/6cba944ec68228350483695c5b0f81bedf7fd9f7.mp3,6,7,1,4,6,5,6,5,6,4,7,5,2,2,3,3,5,5,5,6,,
A Sunset of the City,Gwendolyn Brooks,https://media.poetryfoundation.org/uploads/media/default/0001/06/6cba944ec68228350483695c5b0f81bedf7fd9f7.mp3,9,8,0,1,0,8,0,0,0,0,0,9,9,9,8,9,0,8,0,0,,
The Minister of Culture Gets His Wish,Mark Strand,https://media.poetryfoundation.org/uploads/media/default/0001/07/bf4ab63fd2ab66c342ebb012db324a1c569602ba.mp3,3,1,3,5,0,0,2,0,0,1,0,3,1,2,1,1,2,1,1,0,,
The Minister of Culture Gets His Wish,Mark Strand,https://media.poetryfoundation.org/uploads/media/default/0001/07/bf4ab63fd2ab66c342ebb012db324a1c569602ba.mp3,1,2,6,2,6,4,6,7,5,5,8,2,2,1,2,1,5,2,4,6,,
The Minister of Culture Gets His Wish,Mark Strand,https://media.poetryfoundation.org/uploads/media/default/0001/07/bf4ab63fd2ab66c342ebb012db324a1c569602ba.mp3,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,1,0,,
The Minister of Culture Gets His Wish,Mark Strand,https://media.poetryfoundation.org/uploads/media/default/0001/07/bf4ab63fd2ab66c342ebb012db324a1c569602ba.mp3,7,4,7,3,5,5,6,6,7,4,7,2,7,7,6,6,2,4,5,4,,
The Minister of Culture Gets His Wish,Mark Strand,https://media.poetryfoundation.org/uploads/media/default/0001/07/bf4ab63fd2ab66c342ebb012db324a1c569602ba.mp3,0,0,0,6,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,,
Report to Crazy Horse,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/db4f0a3de02034066bc73b800432c5bf3462c926.mp3,8,7,0,6,0,6,0,0,0,1,1,8,6,6,8,8,1,2,0,1,,
Report to Crazy Horse,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/db4f0a3de02034066bc73b800432c5bf3462c926.mp3,0,0,4,7,4,5,3,4,0,0,4,10,0,0,0,0,3,0,5,0,,
Report to Crazy Horse,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/db4f0a3de02034066bc73b800432c5bf3462c926.mp3,0,0,0,3,4,7,4,4,0,0,0,10,4,0,2,0,2,0,5,0,,
Report to Crazy Horse,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/db4f0a3de02034066bc73b800432c5bf3462c926.mp3,0,0,0,0,1,0,4,0,2,2,0,0,0,0,0,0,3,0,1,0,,
Report to Crazy Horse,William E. Stafford,https://media.poetryfoundation.org/uploads/media/default/0001/06/db4f0a3de02034066bc73b800432c5bf3462c926.mp3,4,1,4,1,2,2,3,4,3,3,3,1,3,3,4,3,1,3,2,1,,
Provinces,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/22f8b39e09b4c5b805956f08e31c7aa752957582.mp3,7,4,7,3,5,5,6,6,7,4,7,2,7,7,6,6,2,4,5,4,,
Provinces,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/22f8b39e09b4c5b805956f08e31c7aa752957582.mp3,0,0,0,6,2,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,,
Provinces,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/22f8b39e09b4c5b805956f08e31c7aa752957582.mp3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,,
Provinces,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/22f8b39e09b4c5b805956f08e31c7aa752957582.mp3,0,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,4,0,0,,
Provinces,C. D. Wright,https://media.poetryfoundation.org/uploads/media/default/0001/06/22f8b39e09b4c5b805956f08e31c7aa752957582.mp3,7,8,0,3,0,3,0,0,0,0,0,7,6,8,8,8,0,7,0,0,,
Johnny One Note,W. S. Di Piero,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd145ab3f9f71b9e80e9410fd560466859daedfd.mp3,0,0,0,0,6,9,3,4,0,0,0,1,0,0,0,0,0,0,2,0,,
Johnny One Note,W. S. Di Piero,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd145ab3f9f71b9e80e9410fd560466859daedfd.mp3,4,5,4,4,5,5,7,6,6,4,5,8,6,5,6,7,7,3,4,5,,
Johnny One Note,W. S. Di Piero,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd145ab3f9f71b9e80e9410fd560466859daedfd.mp3,0,0,0,0,0,0,2,0,2,3,0,1,0,0,0,0,1,0,2,0,,
Johnny One Note,W. S. Di Piero,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd145ab3f9f71b9e80e9410fd560466859daedfd.mp3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0,,
Johnny One Note,W. S. Di Piero,https://media.poetryfoundation.org/uploads/media/default/0001/07/fd145ab3f9f71b9e80e9410fd560466859daedfd.mp3,8,5,0,6,0,8,1,0,0,1,0,8,8,7,7,7,0,8,4,0,,
American Poetry,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/bb2044a454c19c0c8d340bc407ac231aa3b48207.mp3,0,10,4,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,
American Poetry,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/bb2044a454c19c0c8d340bc407ac231aa3b48207.mp3,9,9,0,1,0,4,0,0,0,0,0,8,8,8,8,8,0,5,0,0,,
American Poetry,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/bb2044a454c19c0c8d340bc407ac231aa3b48207.mp3,6,2,6,5,5,5,3,4,6,6,5,6,6,5,4,3,6,8,4,2,,
American Poetry,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/bb2044a454c19c0c8d340bc407ac231aa3b48207.mp3,9,6,3,5,2,2,2,2,1,1,2,10,8,1,8,3,3,8,2,2,,
American Poetry,Louis Simpson,https://media.poetryfoundation.org/uploads/media/default/0001/07/bb2044a454c19c0c8d340bc407ac231aa3b48207.mp3,1,1,1,3,1,3,1,1,2,1,0,3,2,2,2,1,0,0,5,0,,
What is it to be human?,Waldo Williams Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/88cb77701e54213832d15c592d8955c3fad68755.mp3,0,0,0,0,3,0,0,7,4,0,1,0,0,0,0,0,3,0,0,2,,
What is it to be human?,Waldo Williams Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/88cb77701e54213832d15c592d8955c3fad68755.mp3,5,0,0,0,0,0,3,0,0,0,0,6,0,0,0,4,0,7,3,0,,
What is it to be human?,Waldo Williams Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/88cb77701e54213832d15c592d8955c3fad68755.mp3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
What is it to be human?,Waldo Williams Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/88cb77701e54213832d15c592d8955c3fad68755.mp3,8,9,0,2,0,9,0,0,0,0,0,9,9,9,9,9,0,9,0,0,,
What is it to be human?,Waldo Williams Read the translator's notes,https://media.poetryfoundation.org/uploads/media/default/0001/06/88cb77701e54213832d15c592d8955c3fad68755.mp3,4,8,3,2,6,6,4,8,6,6,2,6,6,2,8,4,6,6,2,8,,
The Rain-Streaked Avenues of Central Queens,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/2d6c3e2dc5ab9b9ec2a4e7061a0a3edcd14b8307.mp3,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,3,0,,
The Rain-Streaked Avenues of Central Queens,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/2d6c3e2dc5ab9b9ec2a4e7061a0a3edcd14b8307.mp3,6,4,6,4,4,4,5,3,7,5,7,4,7,7,3,5,4,5,6,4,,
The Rain-Streaked Avenues of Central Queens,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/2d6c3e2dc5ab9b9ec2a4e7061a0a3edcd14b8307.mp3,0,2,0,0,4,4,1,0,0,0,0,6,4,7,5,0,2,2,6,0,,
The Rain-Streaked Avenues of Central Queens,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/2d6c3e2dc5ab9b9ec2a4e7061a0a3edcd14b8307.mp3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,7,0,,
The Rain-Streaked Avenues of Central Queens,D. Nurkse,https://media.poetryfoundation.org/uploads/media/default/0001/07/2d6c3e2dc5ab9b9ec2a4e7061a0a3edcd14b8307.mp3,8,8,0,7,0,7,3,0,1,2,0,8,4,9,6,2,4,8,1,1,,
Hutch,Atsuro Riley,https://media.poetryfoundation.org/uploads/media/default/0001/06/a75999c726d8698d836b69492e22d8f7cb27f12c.mp3,0,0,5,0,0,6,6,8,7,0,3,0,0,0,0,0,0,0,6,0,,
Hutch,Atsuro Riley,https://media.poetryfoundation.org/uploads/media/default/0001/06/a75999c726d8698d836b69492e22d8f7cb27f12c.mp3,0,0,7,10,10,10,10,5,0,0,6,10,0,0,0,0,0,0,10,0,,
Hutch,Atsuro Riley,https://media.poetryfoundation.org/uploads/media/default/0001/06/a75999c726d8698d836b69492e22d8f7cb27f12c.mp3,6,3,1,2,0,6,0,0,0,0,0,5,5,6,6,8,1,4,0,0,,
Hutch,Atsuro Riley,https://media.poetryfoundation.org/uploads/media/default/0001/06/a75999c726d8698d836b69492e22d8f7cb27f12c.mp3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,,
Hutch,Atsuro Riley,https://media.poetryfoundation.org/uploads/media/default/0001/06/a75999c726d8698d836b69492e22d8f7cb27f12c.mp3,10,8,10,8,10,10,10,10,10,8,10,6,10,10,10,10,8,10,6,8,,
Then Too There Is This,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/05/1ee476df0ba3fe49be60341698d0359cfdec3e4a.mp3,8,2,0,0,7,7,3,0,0,0,0,5,3,6,3,4,6,8,5,0,,
Then Too There Is This,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/05/1ee476df0ba3fe49be60341698d0359cfdec3e4a.mp3,5,0,0,0,0,0,0,0,0,0,0,9,0,6,0,7,0,0,0,0,,
Then Too There Is This,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/05/1ee476df0ba3fe49be60341698d0359cfdec3e4a.mp3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,
Then Too There Is This,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/05/1ee476df0ba3fe49be60341698d0359cfdec3e4a.mp3,8,8,0,2,0,7,0,0,0,0,0,8,5,8,7,3,0,6,0,0,,
Then Too There Is This,J. Allyn Rosser,https://media.poetryfoundation.org/uploads/media/default/0001/05/1ee476df0ba3fe49be60341698d0359cfdec3e4a.mp3,1,3,1,3,2,2,4,1,3,4,3,2,3,3,1,4,2,1,3,3,,
My Picture Left in Scotland,Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/bedb9d36f4975dd38ad15db73b771cf9ce9dfe8f.mp3,7,0,0,5,0,0,0,0,0,0,0,10,1,6,0,4,0,6,0,0,,
My Picture Left in Scotland,Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/bedb9d36f4975dd38ad15db73b771cf9ce9dfe8f.mp3,6,0,0,2,5,3,10,7,0,4,0,10,7,6,10,8,2,8,0,0,,
My Picture Left in Scotland,Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/bedb9d36f4975dd38ad15db73b771cf9ce9dfe8f.mp3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,
My Picture Left in Scotland,Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/bedb9d36f4975dd38ad15db73b771cf9ce9dfe8f.mp3,4,5,4,4,5,5,7,6,6,4,5,8,6,5,6,7,7,3,4,5,,
My Picture Left in Scotland,Ben Jonson,https://media.poetryfoundation.org/uploads/media/default/0001/06/bedb9d36f4975dd38ad15db73b771cf9ce9dfe8f.mp3,9,8,0,5,0,8,0,0,0,0,0,9,8,9,7,5,0,8,2,0,,
Ross: Children of the Ghetto,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/07/95ac8c75aa6edda315972351553d08be50c504d2.mp3,5,8,0,0,0,3,0,0,0,0,0,10,8,7,8,5,0,10,0,0,,
Ross: Children of the Ghetto,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/07/95ac8c75aa6edda315972351553d08be50c504d2.mp3,10,0,0,5,0,0,0,0,0,0,0,10,5,0,5,5,0,0,0,0,,
Ross: Children of the Ghetto,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/07/95ac8c75aa6edda315972351553d08be50c504d2.mp3,3,4,0,3,2,5,0,0,1,0,0,8,7,5,6,3,0,2,0,0,,
Ross: Children of the Ghetto,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/07/95ac8c75aa6edda315972351553d08be50c504d2.mp3,7,4,7,3,5,5,6,6,7,4,7,2,7,7,6,6,2,4,5,4,,
Ross: Children of the Ghetto,George Szirtes,https://media.poetryfoundation.org/uploads/media/default/0001/07/95ac8c75aa6edda315972351553d08be50c504d2.mp3,9,8,0,2,0,8,0,0,0,0,0,8,9,9,9,9,0,6,0,0,,
Sweeping the States,Jacob Saenz,https://media.poetryfoundation.org/uploads/media/default/0001/07/22bf36a3cc28bd379494fd0c62deb3f2f4108399.mp3,0,0,0,0,5,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,,
Sweeping the States,Jacob Saenz,https://media.poetryfoundation.org/uploads/media/default/0001/07/22bf36a3cc28bd379494fd0c62deb3f2f4108399.mp3,4,8,4,2,6,6,4,8,6,6,2,6,6,2,8,4,6,6,2,8,,
Sweeping the States,Jacob Saenz,https://media.poetryfoundation.org/uploads/media/default/0001/07/22bf36a3cc28bd379494fd0c62deb3f2f4108399.mp3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
Sweeping the States,Jacob Saenz,https://media.poetryfoundation.org/uploads/media/default/0001/07/22bf36a3cc28bd379494fd0c62deb3f2f4108399.mp3,0,1,0,0,0,2,0,0,0,0,0,3,2,0,4,5,0,0,0,0,,
Sweeping the States,Jacob Saenz,https://media.poetryfoundation.org/uploads/media/default/0001/07/22bf36a3cc28bd379494fd0c62deb3f2f4108399.mp3,7,8,0,0,0,3,0,0,0,0,0,7,7,4,7,3,0,2,0,0,,
Citizenship [I’m a pipe cleaner.],Sarah Gambito,https://media.poetryfoundation.org/uploads/media/default/0001/17/7bfa42fa4d65ea4fb5ebcfb67902108ac784edd5.mp3,7,3,0,5,0,4,0,0,0,0,0,7,2,5,3,6,0,3,3,0,,
Citizenship [I’m a pipe cleaner.],Sarah Gambito,https://media.poetryfoundation.org/uploads/media/default/0001/17/7bfa42fa4d65ea4fb5ebcfb67902108ac784edd5.mp3,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,
Citizenship [I’m a pipe cleaner.],Sarah Gambito,https://media.poetryfoundation.org/uploads/media/default/0001/17/7bfa42fa4d65ea4fb5ebcfb67902108ac784edd5.mp3,6,0,0,3,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,,
Citizenship [I’m a pipe cleaner.],Sarah Gambito,https://media.poetryfoundation.org/uploads/media/default/0001/17/7bfa42fa4d65ea4fb5ebcfb67902108ac784edd5.mp3,9,9,4,10,2,9,3,1,2,4,2,8,9,9,7,8,3,10,2,2,,
Citizenship [I’m a pipe cleaner.],Sarah Gambito,https://media.poetryfoundation.org/uploads/media/default/0001/17/7bfa42fa4d65ea4fb5ebcfb67902108ac784edd5.mp3,3,1,3,3,4,4,1,3,3,2,2,3,3,2,3,1,3,4,1,1,,
Lark & Merlin,Tom Pickard,https://media.poetryfoundation.org/uploads/media/default/0001/07/72c2714d43d7381ff429e617935040d3cf8f5860.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lark & Merlin,Tom Pickard,https://media.poetryfoundation.org/uploads/media/default/0001/07/72c2714d43d7381ff429e617935040d3cf8f5860.mp3,1,3,1,3,4,4,4,3,2,1,3,3,2,3,3,4,3,2,1,3,,
Lark & Merlin,Tom Pickard,https://media.poetryfoundation.org/uploads/media/default/0001/07/72c2714d43d7381ff429e617935040d3cf8f5860.mp3,6,1,2,1,0,1,1,0,0,5,0,8,3,7,2,1,6,1,7,0,,
Lark & Merlin,Tom Pickard,https://media.poetryfoundation.org/uploads/media/default/0001/07/72c2714d43d7381ff429e617935040d3cf8f5860.mp3,0,0,0,7,0,0,0,0,0,0,0,7,0,3,1,3,0,5,1,0,,
Lark & Merlin,Tom Pickard,https://media.poetryfoundation.org/uploads/media/default/0001/07/72c2714d43d7381ff429e617935040d3cf8f5860.mp3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,,
Three Persons,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/50142662cb5a20d276d7e8dc7464828e39871b94.mp3,9,9,2,8,2,6,2,1,2,3,1,7,8,9,8,8,5,9,9,3,,
Three Persons,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/50142662cb5a20d276d7e8dc7464828e39871b94.mp3,6,8,1,5,1,2,6,0,0,8,1,7,6,3,2,1,8,1,2,8,,
Three Persons,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/50142662cb5a20d276d7e8dc7464828e39871b94.mp3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,5,0,,
Three Persons,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/50142662cb5a20d276d7e8dc7464828e39871b94.mp3,0,5,0,0,8,0,6,3,0,0,0,3,2,0,2,1,4,0,7,0,,
Three Persons,Vijay Seshadri,https://media.poetryfoundation.org/uploads/media/default/0001/07/50142662cb5a20d276d7e8dc7464828e39871b94.mp3,5,2,6,7,5,4,8,6,8,8,4,1,2,3,3,3,8,9,7,6,,
Reverie in Open Air,Rita Dove,https://media.poetryfoundation.org/uploads/media/default/0001/05/fdbf163dcd43132cbfb3f78b6a873318b16e722d.mp3,2,3,9,1,10,2,10,10,10,6,10,4,2,3,2,2,8,1,3,10,,
Reverie in Open Air,Rita Dove,https://media.poetryfoundation.org/uploads/media/default/0001/05/fdbf163dcd43132cbfb3f78b6a873318b16e722d.mp3,9,9,0,3,0,9,0,0,0,0,0,9,9,9,9,7,0,9,0,0,,
Reverie in Open Air,Rita Dove,https://media.poetryfoundation.org/uploads/media/default/0001/05/fdbf163dcd43132cbfb3f78b6a873318b16e722d.mp3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,,
Reverie in Open Air,Rita Dove,https://media.poetryfoundation.org/uploads/media/default/0001/05/fdbf163dcd43132cbfb3f78b6a873318b16e722d.mp3,3,5,0,0,0,0,0,0,0,0,0,4,3,0,4,6,0,0,0,0,,
Reverie in Open Air,Rita Dove,https://media.poetryfoundation.org/uploads/media/default/0001/05/fdbf163dcd43132cbfb3f78b6a873318b16e722d.mp3,7,3,0,0,0,0,0,0,0,0,0,7,7,0,1,8,0,6,0,0,,
Sir Gawaine and the Green Knight,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/7b8fbac458b99370b77fb54918a4e2cac72bbb50.mp3,0,2,2,5,7,0,6,4,8,0,1,5,0,0,0,0,3,0,6,3,,
Sir Gawaine and the Green Knight,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/7b8fbac458b99370b77fb54918a4e2cac72bbb50.mp3,6,8,0,6,0,5,0,0,0,0,0,7,7,7,7,7,0,4,1,0,,
Sir Gawaine and the Green Knight,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/7b8fbac458b99370b77fb54918a4e2cac72bbb50.mp3,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,5,0,,
Sir Gawaine and the Green Knight,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/7b8fbac458b99370b77fb54918a4e2cac72bbb50.mp3,7,4,7,4,4,4,6,4,5,6,5,5,5,5,4,6,5,3,7,4,,
Sir Gawaine and the Green Knight,Yvor Winters,https://media.poetryfoundation.org/uploads/media/default/0001/06/7b8fbac458b99370b77fb54918a4e2cac72bbb50.mp3,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,5,0,0,0,0,,
Sarabande,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/3e7b285c79cf0935743c6ff6d14477eb9cf2d443.mp3,9,0,0,9,0,0,5,0,7,1,0,5,1,9,1,0,1,5,9,1,,
Sarabande,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/3e7b285c79cf0935743c6ff6d14477eb9cf2d443.mp3,5,4,0,0,0,0,0,0,0,0,0,10,4,0,4,3,0,6,0,0,,
Sarabande,Norma Cole,https://media.poetryfoundation.org/uploads/media/default/0001/07/3e7b285c79cf0935743c6ff6d14477eb9cf2d443.mp3,4,2,1,5,0,2,0,0,0,1,0,5,1,6,1,1,4,1,6,1,,
